feature,importance
sw_l_acc_x_mean,0.06599133650757405
sw_r_acc_x_mean,0.057945900254687495
sw_l_acc_z_mean,0.05215804418018566
sw_r_acc_z_mean,0.04997656914300104
sw_r_acc_y_mean,0.047579902766263726
sw_l_acc_x_std,0.04710103013982586
sw_l_acc_y_mean,0.046243082556367346
sw_r_acc_x_std,0.041504898655139955
sw_l_acc_z_std,0.0352274049763159
sw_l_acc_mag_std,0.03374853669515262
sw_r_acc_mag_std,0.0316235901167593
sw_r_gyr_y_std,0.02887140093450264
sw_l_gyr_mag_std,0.02878281111735659
sw_l_gyr_y_std,0.026256987409578058
sw_r_gyr_mag_std,0.025967504020877025
sw_l_gyr_mag_mean,0.022964838738698555
sw_l_acc_mag_mean,0.022899107143309012
sw_r_acc_z_std,0.019649285372742666
sw_r_gyr_mag_mean,0.01927086918987237
sw_l_gyr_z_std,0.018009981667866534
sw_r_acc_y_std,0.01761207681727484
sw_l_acc_y_std,0.01657468926424506
sw_r_acc_mag_mean,0.016285056427677778
sw_r_gyr_z_std,0.015862333563200798
sw_l_acc_mag_max,0.015515596262283157
sw_r_acc_mag_min,0.014525951475705049
sw_r_acc_mag_max,0.014267783793598991
sw_l_gyr_mag_max,0.013865717929675045
sw_l_gyr_x_std,0.013652058840525725
pose_frames,0.012783245493368598
sw_l_acc_mag_min,0.0124110002632456
sw_r_gyr_mag_max,0.010953577771980517
sw_r_gyr_x_std,0.010470916144225986
sw_l_gyr_z_mean,0.008339829624492753
sw_r_gyr_y_mean,0.007874375842746136
sw_l_gyr_mag_min,0.005682986552865552
sw_l_gyr_y_mean,0.005655776789643528
sw_r_gyr_z_mean,0.004552815547359457
sw_r_gyr_mag_min,0.002308279222771454
sw_r_gyr_x_mean,0.002088047162433763
sw_l_gyr_x_mean,0.002078597601074051
joint_01_speed_std,0.0014443841058315535
joint_05_speed_mean,0.0013715411665202028
joint_05_range,0.0012320889662690909
joint_03_speed_max,0.0012308524260505676
joint_05_speed_std,0.0012213372082235958
joint_00_speed_std,0.0011764694255332528
joint_00_speed_mean,0.00107257789816399
joint_02_speed_std,0.0010653852449574765
joint_04_range,0.0010511651460752226
joint_00_speed_max,0.0010484677157159936
joint_02_range,0.0010017672389810162
joint_06_speed_max,0.000990122631937208
pose_range_std,0.0009852949464855918
pose_range_mean,0.0009563149641256827
joint_06_speed_std,0.0009295692519283966
joint_03_speed_std,0.0009286287269153532
joint_02_speed_mean,0.0009217407747124169
joint_10_range,0.0009200891797087031
joint_04_speed_mean,0.0008819218993768414
joint_00_range,0.0008658505327196843
joint_11_range,0.0008608159753369781
pose_movement_max,0.0008552536840001565
joint_01_speed_mean,0.0008239007295241177
joint_10_speed_max,0.0008208814006761426
joint_01_range,0.0008205087543968006
joint_15_range,0.0008010800859608869
joint_07_range,0.0007978734602619638
joint_06_speed_mean,0.0007952599260480847
joint_02_speed_max,0.0007883713125772917
joint_04_speed_max,0.0007822881419309991
joint_04_speed_std,0.0007412622293233021
joint_16_speed_std,0.0007352248023399569
joint_09_range,0.0007314715402632951
joint_05_speed_max,0.0007207924507325109
joint_06_range,0.0007190426723180276
joint_15_speed_max,0.0007189669432049007
joint_08_speed_max,0.0006951005626222474
joint_11_speed_max,0.0006703029298455491
joint_09_speed_max,0.0006635819911713379
joint_03_range,0.0006631062455008208
joint_15_speed_std,0.0006629112928699163
joint_13_speed_mean,0.0006606997983703148
joint_16_speed_max,0.0006542458615628253
joint_12_range,0.0006522749269104459
joint_07_speed_std,0.0006499189240235675
joint_08_range,0.0006342055231960876
joint_09_speed_std,0.0006098608429369554
joint_10_speed_mean,0.000598833343830146
joint_01_speed_max,0.0005984850061541032
joint_14_speed_std,0.0005916884024976813
joint_12_speed_max,0.0005726255050903886
joint_03_speed_mean,0.0005709935975644063
joint_10_speed_std,0.0005635420209796562
pose_range_max,0.0005557639453565076
joint_07_speed_max,0.0005436793841466797
joint_14_range,0.0005292599815850565
joint_13_range,0.0005185010424512107
pose_stability_max,0.0004964101033278981
pose_movement_std,0.0004922708739662504
joint_16_range,0.0004896871628244011
joint_16_speed_mean,0.00047972496596284216
joint_13_speed_max,0.00047170420307118057
joint_12_speed_std,0.0004587355754752986
pose_stability_std,0.00044771834403498827
joint_07_speed_mean,0.00044554764373930456
pose_movement_mean,0.0004416968895461275
joint_09_speed_mean,0.000438756217132611
joint_14_speed_mean,0.0004248938586254701
joint_11_speed_std,0.00041225606701833555
joint_14_speed_max,0.0003942102099817183
joint_15_speed_mean,0.0003941490046056134
joint_11_speed_mean,0.00037752601914734196
joint_08_speed_std,0.00037406628943061304
joint_12_speed_mean,0.0003650513342613291
pose_stability_proxy,0.00031449104087574373
joint_08_speed_mean,0.00030537577070499053
joint_13_speed_std,0.00017378976200470246
