feature,importance
pose_frames,0.06888197863240265
joint_00_range,0.05962762372878142
pose_range_max,0.029104800908427694
pose_range_std,0.02756039088116991
joint_14_speed_max,0.015342813641659871
joint_01_speed_std,0.014027476948587315
joint_03_range,0.013964716833080206
joint_03_speed_std,0.013953922711840766
joint_01_speed_mean,0.013818504901855757
joint_06_speed_std,0.013781336751778428
joint_02_speed_mean,0.01364240053330144
joint_13_speed_max,0.013602211289178127
joint_17_speed_std,0.013507087928813295
joint_05_speed_mean,0.013425642537828922
joint_07_range,0.013406806407096676
joint_14_speed_std,0.013387566615822619
joint_06_range,0.013099869740837211
joint_14_speed_mean,0.012934319345564129
joint_05_speed_std,0.012613854080708701
joint_02_speed_std,0.012481781944107196
pose_movement_max,0.012326701281027077
joint_17_speed_max,0.012224655657082974
joint_05_speed_max,0.012183759808871762
joint_14_range,0.012071969774057275
joint_01_speed_max,0.011870052165909318
joint_01_range,0.011842748249550067
joint_17_speed_mean,0.011761098721058037
joint_07_speed_std,0.011666425138544424
joint_04_range,0.011585014573521889
joint_06_speed_mean,0.011518425444671793
joint_16_range,0.011475439782458893
joint_07_speed_mean,0.011412357000792912
joint_16_speed_std,0.01135208594816537
joint_03_speed_mean,0.011218547354826287
joint_02_range,0.011206794829784062
joint_02_speed_max,0.011099118710858235
joint_03_speed_max,0.011082851769791324
joint_08_speed_std,0.010964459739383627
joint_11_speed_max,0.01085476562232644
joint_13_range,0.01080523750918268
joint_08_speed_max,0.010783950832941676
joint_08_range,0.01064727547467756
pose_stability_std,0.010638842478016792
joint_05_range,0.010559621864767485
joint_04_speed_mean,0.010508115677293732
joint_16_speed_max,0.010499328843553861
joint_13_speed_std,0.010352522762802277
joint_04_speed_max,0.010304629422070772
joint_09_speed_max,0.010257224957070571
joint_07_speed_max,0.010042444218950829
joint_09_speed_std,0.010030487157101933
joint_08_speed_mean,0.009952583333070244
joint_16_speed_mean,0.00990139207140246
joint_12_range,0.009815133713958077
joint_10_speed_std,0.009782103213743957
joint_15_range,0.009709151768928944
joint_13_speed_mean,0.009684519517465613
joint_11_speed_std,0.009581741645857681
joint_10_speed_max,0.009376951606291926
joint_06_speed_max,0.00935617056981239
joint_17_range,0.009305666851730761
joint_09_speed_mean,0.009294026931965271
joint_12_speed_max,0.009214317746676583
joint_10_range,0.008941300001496337
pose_stability_proxy,0.00893349846455781
joint_09_range,0.008886723058097753
joint_04_speed_std,0.008841075630265986
pose_range_mean,0.008826372209378281
joint_15_speed_std,0.00875946891213436
joint_15_speed_mean,0.008699188767336942
joint_10_speed_mean,0.00866330739222167
pose_stability_max,0.008636807590498017
joint_15_speed_max,0.008625093716225211
pose_movement_mean,0.008617849811557618
joint_11_range,0.008332831566308641
joint_12_speed_mean,0.008281529943585244
joint_12_speed_std,0.008280709295263125
pose_movement_std,0.008069421061344497
joint_11_speed_mean,0.008050994702210407
joint_00_speed_mean,0.00016349784042333625
joint_00_speed_std,6.463707037768688e-05
joint_00_speed_max,3.98748618587312e-05
