feature,importance
pose_frames,0.0827949233677605
joint_05_range,0.016141689158262
joint_13_speed_mean,0.016044118242583966
joint_13_speed_max,0.0157259585846385
joint_00_speed_mean,0.015695671009886714
joint_13_speed_std,0.015231254682691844
joint_04_speed_mean,0.015159215564143323
joint_01_speed_mean,0.015148202391013619
joint_06_range,0.014996769735356812
joint_00_speed_std,0.014826616767247301
pose_movement_max,0.014664234517808608
joint_04_speed_std,0.014456584834360332
joint_02_speed_std,0.014394359850233475
joint_16_speed_std,0.014272919805431978
joint_02_range,0.01411481833473066
joint_00_speed_max,0.014065646825370396
joint_15_speed_max,0.01387818257828831
joint_01_speed_std,0.0138686055163584
joint_12_speed_max,0.013858188684424094
joint_15_speed_std,0.013712143650273264
joint_05_speed_std,0.013691931289281332
pose_range_std,0.01316335074666769
joint_03_range,0.01299930748234187
joint_16_speed_mean,0.012981187982150234
joint_15_range,0.01263449564849576
joint_02_speed_mean,0.012629779773531167
joint_04_range,0.012573511470622925
joint_13_range,0.012476162025964863
joint_06_speed_std,0.012467089711679768
joint_07_speed_std,0.012449205735109884
joint_01_range,0.012378131729243918
joint_06_speed_mean,0.012362746543519538
joint_16_speed_max,0.012347967167113193
joint_01_speed_max,0.012313132037015541
joint_05_speed_mean,0.012171000589259535
joint_02_speed_max,0.012119221685742412
joint_07_speed_mean,0.011892069032826446
joint_04_speed_max,0.011850127664946785
joint_03_speed_mean,0.01168220696834146
joint_14_range,0.01166377657387011
joint_07_range,0.011581961446944225
joint_12_range,0.01149933613781186
joint_05_speed_max,0.011460020526526775
joint_11_range,0.011390050787790217
joint_00_range,0.011229696666833539
joint_12_speed_std,0.011127015436874155
joint_16_range,0.01106271288698996
joint_08_speed_max,0.010800902082782036
joint_14_speed_max,0.010745196815637076
joint_09_speed_max,0.01066110632094354
joint_06_speed_max,0.010523738285560282
joint_09_speed_std,0.010483828419424891
joint_08_speed_std,0.010451741765380856
joint_03_speed_std,0.010398703987277203
joint_08_range,0.010353280285044755
joint_15_speed_mean,0.010340295102935038
joint_10_range,0.010314307681088465
joint_09_range,0.010284716630782483
joint_10_speed_max,0.010283960307265654
joint_03_speed_max,0.010199244783082229
joint_10_speed_std,0.010169443665995958
pose_stability_std,0.010166014686471655
joint_07_speed_max,0.01010426908359515
pose_range_max,0.01008275777223707
pose_range_mean,0.010049888598932225
joint_14_speed_std,0.01004632174753495
joint_11_speed_max,0.009882352994625084
joint_12_speed_mean,0.009807135782532948
pose_movement_std,0.00979466617613482
joint_11_speed_std,0.009743440077019909
joint_08_speed_mean,0.009633987461690533
pose_stability_proxy,0.009613296975948035
pose_stability_max,0.009523948609654602
joint_09_speed_mean,0.009312954584746767
joint_14_speed_mean,0.009223760796318323
joint_10_speed_mean,0.009022309063085146
pose_movement_mean,0.008480404000137626
joint_11_speed_mean,0.008254725607775463
pose_joint_count,0.0
