participant,start_time,end_time,duration,reps,exercise,pose_valid,pose_frames,pose_joint_count,joint_00_range,joint_00_speed_mean,joint_00_speed_std,joint_00_speed_max,joint_01_range,joint_01_speed_mean,joint_01_speed_std,joint_01_speed_max,joint_02_range,joint_02_speed_mean,joint_02_speed_std,joint_02_speed_max,joint_03_range,joint_03_speed_mean,joint_03_speed_std,joint_03_speed_max,joint_04_range,joint_04_speed_mean,joint_04_speed_std,joint_04_speed_max,joint_05_range,joint_05_speed_mean,joint_05_speed_std,joint_05_speed_max,joint_06_range,joint_06_speed_mean,joint_06_speed_std,joint_06_speed_max,joint_07_range,joint_07_speed_mean,joint_07_speed_std,joint_07_speed_max,joint_08_range,joint_08_speed_mean,joint_08_speed_std,joint_08_speed_max,joint_09_range,joint_09_speed_mean,joint_09_speed_std,joint_09_speed_max,joint_10_range,joint_10_speed_mean,joint_10_speed_std,joint_10_speed_max,joint_11_range,joint_11_speed_mean,joint_11_speed_std,joint_11_speed_max,joint_12_range,joint_12_speed_mean,joint_12_speed_std,joint_12_speed_max,joint_13_range,joint_13_speed_mean,joint_13_speed_std,joint_13_speed_max,joint_14_range,joint_14_speed_mean,joint_14_speed_std,joint_14_speed_max,joint_15_range,joint_15_speed_mean,joint_15_speed_std,joint_15_speed_max,joint_16_range,joint_16_speed_mean,joint_16_speed_std,joint_16_speed_max,pose_movement_mean,pose_movement_std,pose_movement_max,pose_range_mean,pose_range_std,pose_range_max,pose_stability_proxy,pose_stability_std,pose_stability_max,sw_l_acc_valid,sw_l_acc_count,sw_l_acc_mag_mean,sw_l_acc_mag_std,sw_l_acc_mag_min,sw_l_acc_mag_max,sw_l_acc_x_mean,sw_l_acc_y_mean,sw_l_acc_z_mean,sw_l_acc_x_std,sw_l_acc_y_std,sw_l_acc_z_std,sw_r_acc_valid,sw_r_acc_count,sw_r_acc_mag_mean,sw_r_acc_mag_std,sw_r_acc_mag_min,sw_r_acc_mag_max,sw_r_acc_x_mean,sw_r_acc_y_mean,sw_r_acc_z_mean,sw_r_acc_x_std,sw_r_acc_y_std,sw_r_acc_z_std,sw_l_gyr_valid,sw_l_gyr_count,sw_l_gyr_mag_mean,sw_l_gyr_mag_std,sw_l_gyr_mag_min,sw_l_gyr_mag_max,sw_l_gyr_x_mean,sw_l_gyr_y_mean,sw_l_gyr_z_mean,sw_l_gyr_x_std,sw_l_gyr_y_std,sw_l_gyr_z_std,sw_r_gyr_valid,sw_r_gyr_count,sw_r_gyr_mag_mean,sw_r_gyr_mag_std,sw_r_gyr_mag_min,sw_r_gyr_mag_max,sw_r_gyr_x_mean,sw_r_gyr_y_mean,sw_r_gyr_z_mean,sw_r_gyr_x_std,sw_r_gyr_y_std,sw_r_gyr_z_std,watch_acc_mean,watch_acc_variability,watch_gyr_mean,watch_gyr_variability
w00,4040,4500,460,10,squats,1,460,17.0,550.4647116659943,4.221279700407533,5.643099895245396,40.942951740567445,661.1030802399629,6.048919344359746,6.297007954811425,42.18950468015338,777.5560958949106,8.815507095381845,8.481022377556666,55.36312691536364,732.3879508529009,8.48527807309629,10.299015877749662,88.86597248855438,608.8390682008771,5.667429599819616,6.039546299219015,45.39320193282463,800.3827003308603,9.761330026377378,8.74071047365949,52.9716718614702,758.388238510515,9.409429601830338,10.048792696536884,110.2273538860993,867.1423013975307,7.1520904882721945,8.161333132386215,62.20912205014418,1329.7100480383633,10.18553834035531,11.972489292333064,84.58006590927783,1462.3051629141926,11.133489989476503,13.199303414268526,89.79774754444273,1496.9822660661594,11.821803269152223,13.66489951911648,90.06928737614723,1299.6991846739168,10.4335984563931,11.700302371724964,83.87002065832918,1447.2754855573417,15.475469962580268,15.767655594003132,104.99584342050382,1744.534857514557,22.12517207882468,22.269069196399617,123.73195144687676,1296.0840479527246,10.310979153757533,12.153332579890666,86.91728300491678,1620.763374109758,15.875352955802446,16.38233768646945,106.95593858730814,2004.1618921877189,22.578275832965527,24.086850366284352,120.25504033422396,11.147114351108971,14.025632001182432,123.73195144687676,1144.5753215357815,437.0061819100928,2004.1618921877189,7.583185535273818,8.428804606048315,64.60872737288912,1,1549,10.498885575889355,4.623196070682453,1.907501935012872,21.384921375970567,5.661586749104197,-2.511989055496643,7.9041708922337,3.950158941680386,1.6679271080564226,3.5178448963907867,1,1564,10.320502441815636,4.627052202071402,1.6690985175834363,21.826749111889647,-6.127342278454156,-3.101856690695013,6.957492209424553,3.9880575329160814,2.047332931942914,3.5005244665628488,1,1549,1.2211978313841612,0.8424952070403786,0.0528177490672415,3.878390313311444,-0.087485016941898,0.0289334692635248,0.0061496637692705,1.0572175616683712,0.6907204252830415,0.7731688343840327,1,1564,1.2907871924217849,0.8716493345399842,0.0565983389041364,3.661418174540944,-0.0385657102632161,-0.0366171787422634,-0.0611111433264258,1.076159318428379,0.5066386101793131,1.0022673669902853,10.409694008852496,4.625124136376927,1.255992511902973,0.8570722707901814
w00,5435,5928,493,10,squats,1,493,17.0,494.3146413571047,2.4273756337297443,3.896269422920452,41.02640681248592,484.6989401069757,3.499419319164968,4.370438306161875,42.69813390749164,578.6046564994348,5.294829993344322,5.046217997784021,40.93614850037368,514.6885159836171,5.763314833054615,6.431960489884246,54.40496040689361,617.9411529066407,3.6282742246818462,4.665129109681525,39.8361595936007,845.637327204914,5.469188752157249,6.334379952084521,46.43601205290692,656.0452750717899,5.763665177493135,7.821461706075365,58.72487852798,812.2644176764279,4.32509732540748,6.4907387551673885,41.04013788514006,1197.0854867159037,6.57481691774843,10.003885633070931,72.0360183119285,1296.1601161330634,7.485317341339955,10.90258060577893,83.38207732740426,1352.846640736259,7.939169314681504,11.602406849308224,88.92498087922351,1231.7221745397098,6.62329679380489,9.823033592383345,70.45761732592945,1352.129266224374,7.752166790614567,10.352211356032363,57.69917161103364,1430.250747288579,9.185201202064384,12.930311421518542,164.6745989659535,1150.4649096035862,7.018425516881221,9.743938328193252,70.56084613164694,1177.1998957915237,7.581111426373238,9.65115067191861,63.933856738188,1447.0760989039536,8.404030403651976,11.61932405585392,75.47449914162861,6.160864762717266,8.98015805096634,164.6745989659535,978.7723683966974,352.95531320477744,1447.0760989039536,4.486483748657542,6.358485559689138,41.98528142322724,1,1731,10.423421691206968,4.303235047138022,1.516465456191234,21.13924039681853,5.19749976452594,-2.805417527337897,7.74169966090699,3.921032890145362,2.460085542605728,3.30465533399056,1,1748,10.287871673640897,4.363827284952361,1.3149748583074443,21.20833136017771,-5.760340096029347,-3.722727817915904,6.576829406805721,4.203814594603794,2.5915922771547706,3.193740596064829,1,1732,1.3762372667764422,1.025419115528741,0.0360358586537007,4.795220617690616,-0.0700209302703233,-0.0416707282927251,-0.0620020943091224,1.186895878536335,0.7846505309048172,0.9542701162926578,1,1748,1.387089311126256,1.037200137572924,0.0388701401920674,5.7209679982392805,0.0005569505281636,0.0132216027328375,0.0280629788717448,1.1136005476069828,0.6128580528978628,1.1760684750616357,10.355646682423933,4.333531166045192,1.3816632889513492,1.0313096265508326
w00,7200,7685,485,10,squats,1,485,17.0,711.8277069830845,7.173298171924596,6.263560969229664,53.16922242457285,866.6452377215037,15.475302823054852,14.798612797708186,118.14303925723364,798.4026622412035,29.471142235678496,37.08465789165505,350.4972922974604,1108.2922882884448,28.615045560186445,30.110802163836905,271.7867052577123,754.4719885403501,12.531850246701776,11.903741401458484,96.90888116735796,944.9086442355052,34.26618487871655,43.47695490727381,342.4118312423349,1335.333814749557,37.20269550410748,46.66581531055831,393.4451559372709,1135.203744323611,15.404431654847508,12.128821642970408,90.53591821163606,1418.7277511579275,23.38227780781488,18.657225419743863,116.70220690033588,1432.347687151788,25.53194042143873,20.09250785761424,128.8563108500558,1524.4922991316716,27.875935300954684,22.41724146574168,145.4331981960397,1287.6655382402637,20.281324346891022,17.02748293794651,109.50457505961968,1534.546198831978,26.249577931659783,24.138029376345745,152.1883159805972,1869.795261480432,30.82806683820479,34.11236608987889,217.60869072512205,1543.7891024229273,28.73572813048312,22.5427761269923,126.1776267847822,1611.0515829313222,29.94789750394673,25.636193249112832,189.850051180743,1751.3548179473337,27.82811951143701,22.694632592532244,161.8619313811454,24.75298934517932,27.553317884241675,393.4451559372709,1272.2856662575823,350.0320431625336,1869.795261480432,15.009198503534522,12.47937458453266,88.69757494523913,1,1672,10.359495422029209,4.001607521007705,1.283437836309395,20.889378395075767,5.583718974700957,-3.293617540697488,7.4530418313217695,3.5363074011570435,2.176133601130409,2.918443769121629,1,1688,10.232850452206916,4.127098989159187,1.4760531890000677,20.727706248957595,-6.016001294622038,-3.97598514544846,6.351094050373224,3.903430695953048,2.478622277348752,2.8331448535620365,1,1672,1.30979024639556,0.9184350979782256,0.0204799267138556,4.32157535929968,-0.0642679681356459,-0.0037280300726076,0.0084351980339712,1.1082244050227763,0.6354362752000792,0.9606859552010732,1,1688,1.407255282579576,0.9715270267087376,0.028178173548106,4.656650211860433,-0.012667309692891,-0.0318486240088566,-0.0307871302921801,1.188448491108992,0.5765203395532922,1.0850456363941643,10.296172937118062,4.0643532550834465,1.3585227644875681,0.9449810623434816
w01,2113,2598,485,10,squats,1,485,17.0,157.2321892935128,1.8591590993625584,2.079601674661064,13.209171481808824,174.57573631573496,2.5491339526822587,2.4552104836032025,13.803220334559436,134.33928967268935,3.618677950252093,3.708583064226018,27.222196632088263,200.61972159585483,4.026583486271886,4.347284252820543,37.32301712547265,174.24745346425624,2.4911568715867567,2.347476623071568,14.173464544493015,130.979859142254,3.454567504962874,3.1414872504777303,18.40666640309977,242.49039859709995,3.9679154159207832,4.243135852466013,28.34932929953736,215.55372432112705,3.096583088582838,2.988731151285561,17.89350465831216,263.57057844776625,4.45114120050552,4.3915242607055065,24.345500867194787,260.114036468522,4.899415410598469,4.836794129572909,31.450056120743703,280.30368096816625,5.171155240172149,5.263780262920185,34.28557385907475,269.9533621405842,4.468580774298823,4.510552306396419,31.433359764863035,508.2813572734509,7.689937331624873,8.91499692454712,85.01725193956494,835.3340895048973,11.701684360594369,14.144558541592543,107.64367372219075,244.6446374362332,4.478496886093409,4.15318473376604,24.85322442682248,274.8594516881722,5.728191703792732,5.167542420488035,34.52061207904728,389.0215370006872,7.332675221227182,6.621067329542448,39.42212707021883,4.763826794031151,6.10475044350535,107.64367372219075,279.7718296077064,165.7587454874766,835.3340895048973,3.023728409262972,2.6961422787128435,21.44748193711284,1,1691,9.980851086589448,4.622227936114271,1.846404779744337,23.31599786718317,-0.3480001760457126,-0.2235993744088704,9.790391285375517,1.5079692671316072,1.0275671862203053,4.650768920268779,1,1708,9.964176654628233,4.531152179952241,2.3038210377707737,23.146572282927785,0.3295409583860655,-1.674874532072541,9.646280901814988,1.4186969904805424,1.4297614177913829,4.4491235588328,1,1691,0.5355964917594094,0.2797174776331656,0.0201862924942075,2.824152077605982,-0.0145415494520402,-0.0118004233657007,-0.0105671339489059,0.3991289274775496,0.4201254025389229,0.1698053111613604,1,1708,0.5618171583181408,0.2891417747810741,0.0253701462287513,2.094055082659531,0.0021502747535831,0.0087542503470433,0.0101409005833665,0.4691473809636906,0.3911767545069077,0.1610554827606816,9.97251387060884,4.576690058033256,0.5487068250387751,0.28442962620711987
w01,3210,3737,527,10,squats,1,527,17.0,578.6757748170343,11.927551037274444,14.09793709836137,90.80996114025618,592.7831254061393,12.281346774942683,13.845792986802165,88.65049886962383,697.4993523542314,23.11955791688057,28.39756883478324,181.5117414457336,777.946695949599,25.47330265067763,27.541837954410973,164.6509328201953,578.071340423318,12.709682965905149,14.070071177341337,93.30095624339502,729.6897726538053,22.81933886387427,26.67475132590338,168.9134958415774,636.8127534655231,23.92523162039564,27.01056633608151,159.52078345846093,628.7271920297927,13.779130687040922,13.817867963019395,90.87206093653296,626.2621643699129,15.967888983625764,14.01728343339087,95.56728931775103,565.0456184148483,15.880276291574171,14.340871334977004,104.55559654620272,592.0934403460028,16.14521753560542,14.122748730377836,102.43411449710192,613.6465314217187,15.687532164131786,13.949760631752818,96.92118449103968,670.0258552308469,20.46628453092385,16.81475915430598,105.62885848282806,777.5278653312473,24.61342312991036,19.29118355093249,144.82657622268587,630.7397594296383,16.458349322755016,14.081199269888874,90.35741707185858,714.1489003102528,19.451923266908807,15.55220026917587,98.80294199459556,953.9293072744086,24.07218583491628,18.05162165513593,145.07790245123886,18.51636609278487,19.345718247771035,181.5117414457336,668.44855583696,96.8112420545104,953.9293072744086,13.213928965592144,13.461305868633248,90.75936461567228,1,1812,9.944259761471145,3.9121049091885447,2.7467992558690177,19.354458808466426,0.143952311120309,-0.0814782506673841,9.808496253697571,1.2884372154895738,0.8468815740167737,3.947357145412052,1,1830,9.860842849678104,3.7728882495600926,3.464859217674066,19.492089102709595,-0.8547013640356832,-2.381721383924044,9.394816570819671,1.0286742322983011,1.6629931318813775,3.6029850187259793,1,1812,0.4604033835165548,0.2391050457559369,0.0386344969446784,2.295406643557924,-0.0240954555598234,-0.0079378740620309,-0.01230495187649,0.3615534831286742,0.3436777125305423,0.1396860570808523,1,1830,0.4645034343429909,0.2167446299698718,0.0344864837810598,1.455039941324619,0.000699555518918,0.0100092194465847,0.0161750640363497,0.3818650113953389,0.3019028984047615,0.159414935296596,9.902551305574624,3.842496579374319,0.4624534089297728,0.22792483786290435
w01,5086,5615,529,10,squats,1,529,17.0,213.863647174763,2.899097899919395,3.3012586747370736,21.45763774029135,214.5891672519905,3.3447920878375563,3.232683283518191,22.10972669872908,216.61322674196305,4.454793181694551,4.185943964539709,25.845499108197384,322.9176243372071,5.091193582750588,5.16864525213416,44.54972628201297,229.13766008026823,3.44501626622766,3.4124305462595523,21.99670462219224,224.4461840120836,4.706873952061664,3.8318465028225246,23.332229239135497,329.97809709835724,5.299145330467567,4.91699751180153,28.22171407871848,243.5481947498933,4.054631873135008,3.6970972960496167,25.019439152541253,324.05367366013303,5.446739225295167,4.902379264368318,28.80771424296944,302.5360799019482,5.887204235615753,5.057910548918708,28.710346348293115,333.9669501204164,6.236448004558583,5.345115106855987,32.672513425688365,297.10862108738746,5.336952289594164,4.648102685707146,29.45868186896278,672.6746976150612,7.662640046508104,8.682105774698918,66.68775084301994,898.6292898200887,9.798592444079093,12.435314418897146,131.5776090938598,329.1399429880151,5.363852601178645,4.862833377870706,28.71924706682863,453.0303998711034,6.403253227049944,5.7733682095143815,41.47117389229081,845.1921061369447,7.450323830414921,7.06443534884229,47.58227789599057,5.463620592846374,6.0127006828482665,131.5776090938598,379.4956213322132,210.05159519840973,898.6292898200887,3.916475636368551,3.350000598152316,21.15294870302206,1,1820,9.951849770792949,3.754355585474917,2.5157991319945223,19.0289384122183,0.230736454903022,-0.389953938531923,9.830259383131867,1.0907779727126308,0.8722844741621993,3.787416006665881,1,1838,9.928170624086384,3.5568700190148146,3.585639644300964,19.80477627140029,-0.8117383502839499,-1.85207858709358,9.61737854678999,0.9305841770115678,1.2908810240269657,3.4791451809449514,1,1820,0.4335307607063262,0.2359558641150058,0.0231806979897194,1.904567041251072,-0.0227073965894505,-0.0102423932965934,-0.0175660612552747,0.3640429215951211,0.2986271310930021,0.1448778075213028,1,1838,0.4234181349376565,0.2261008130316598,0.0238078228502177,1.8510974393486903,0.0005741693924483,0.0029011997590859,0.0057033638446735,0.3823928356790032,0.2493621164429923,0.148180544480122,9.940010197439666,3.6556128022448657,0.42847444782199134,0.2310283385733328
w02,2495,3144,649,10,squats,1,649,17.0,419.1970229080621,11.300072883703068,14.291004892429015,99.506813576446,423.4071514729174,11.623767903802008,13.969279283392854,96.03504762786368,543.5587923072278,15.94635839792964,21.409165271213585,136.72775074969653,631.661815124813,17.616631596849196,21.793239777593964,132.41772661725122,438.9407046005801,11.81761005222774,14.369646830354728,103.30196049861205,638.7877723647005,17.000976359001182,21.46856609078176,140.15220926076356,735.5432915143502,18.554557328117745,22.35336250882884,140.29940066244367,481.40529225113823,13.856783920442338,14.548578071377571,93.22089214618148,526.962911835187,15.402111101119775,13.81297352894393,88.91442643337935,514.0563753101924,14.442156504861044,12.827812216763428,78.44184860993907,528.1511162170681,15.25077599354518,13.323044855951204,88.43553027833387,531.1426535974396,15.05903302138048,13.320052416147984,97.39673814808904,680.4743954123048,18.2154236912629,16.170495275938475,153.75081188297813,835.6578450047672,18.319846904339748,14.88715712956786,119.79207890100884,503.7271361814972,15.352475649193394,14.08927259832521,87.91819133799281,715.1944003980784,18.35577774141689,15.937508739146145,78.2996689439651,919.934566415842,18.000546704946753,14.704738753731617,100.14002157070829,15.653817985537591,16.573274729903424,153.75081188297813,592.2237201715392,140.68059714001515,919.934566415842,11.421449103544246,11.401080256635652,76.80131507992216,1,2197,10.334712054886692,2.1354455313244,5.704968017878874,32.91826237581165,-2.0840257336237595,-2.4190842991781065,8.438836960978607,2.284635923984273,4.263560264772586,2.5612091049447296,1,2218,10.218929024159303,2.040657262765822,5.115951492874847,23.92341455036684,2.145106139444409,-0.8693489340464833,8.439972514765556,2.236875642315141,4.577742302877316,2.457859081709359,1,2197,1.6624995005670822,0.8979784408197804,0.0350063494101113,4.542721048070603,-0.060171732608466,-0.0005961294341374,-0.023540964104142,1.654539672725216,0.7686321920768702,0.4876450804406854,1,2219,1.697269568892192,0.922398346778091,0.0314108068083312,4.991597025265274,-0.0705934017274898,0.0333776591976881,-0.0159106202804416,1.6689822013764977,0.6915309049081502,0.6793198615771019,10.276820539522998,2.0880513970451107,1.679884534729637,0.9101883937989357
w02,3520,4182,662,10,squats,1,662,17.0,706.7891308929325,5.900411096015083,5.380771387455278,38.86912480227373,820.702687803274,10.683578999475593,8.268019795741317,54.70012300479275,672.3536872203396,19.252840182685407,17.440220333781184,153.99721849555604,947.9646531583328,18.09908384495348,15.40161637415852,115.78269246177986,722.2844049294881,8.960565414666878,7.942003537797824,55.81118649166219,769.2975973138276,18.31441591374252,16.661226176749274,130.21379120048914,1240.094593305525,23.54988149956026,31.15970371651517,199.19999391325808,1136.3037295227266,11.080734928454442,9.16576444701941,49.45756325708958,1423.3266917255517,17.24376477976642,13.953970417353718,72.86523124326061,1383.0246895442715,17.888089693703773,14.613050253846732,82.02111959144757,1503.516372309473,20.89262741183129,16.428767939059295,88.23772076210112,1324.2473691151897,17.345855934220435,14.21759296762622,73.09379582028028,1324.6361288143555,25.37398186435184,24.76774109621098,158.57203582567914,1352.3862825834808,27.370131435173363,34.792881699944715,215.6071332747366,1553.1508241380186,20.286918428874948,15.613158803171013,79.44215907193569,1737.1588523909538,22.316096273916497,17.76820607985811,103.62028803913012,1622.086739788297,20.159039635169385,16.635907679963726,85.75512072170862,17.92458925509186,18.96868498786931,215.6071332747366,1190.5484961503553,340.24379814888056,1737.1588523909538,10.563852155699545,8.915829805068956,46.82805152055758,1,2276,10.229081335773078,1.9839913437701264,4.294935277679841,28.2468033071872,-2.596843178511424,-2.034413439372276,8.282200973123901,1.9533997863717625,4.427108392740674,2.382851586702246,1,2299,10.183886475667904,1.917007598219016,5.35895052813461,20.66603272224352,2.770729356818008,-0.7818640031600694,8.526184476076555,1.9017012646502875,4.335217852735414,1.9979504853757688,1,2276,1.6346227884860225,0.8230763984101858,0.0329640776952048,4.924943138286286,-0.0395215718426186,0.0112140426912126,-0.0269317394606326,1.6169658492743315,0.7229205604923103,0.4580837213555594,1,2299,1.5382571762571535,0.8022831682048176,0.0724327295947814,4.789084086356864,-0.0746693830970508,0.0202533909389778,0.0235031927646802,1.473920453564472,0.6900729646924162,0.5955779592711231,10.206483905720491,1.950499470994571,1.586439982371588,0.8126797833075017
w02,5109,5770,661,10,squats,1,661,17.0,745.822879770771,4.77726851158043,5.048360112705765,46.04859457132269,869.7491213618517,8.030025933372885,6.932375878538843,43.392611776063006,764.1229855392244,14.206093793344976,13.492016444110028,92.35172181685624,964.7332801695994,14.335470257593688,13.00332212458584,73.37011568576358,748.4790362579407,7.240794855852646,6.854940268093179,53.77814519125947,672.5654223300273,13.85625636577458,13.005024460926592,80.39572053498877,1088.816570189796,17.060001077737457,22.765989083965863,148.09944370507327,1190.2751624662008,8.310749440452792,8.413785986436418,87.90968556653652,1487.4101153007389,12.341431886598658,12.275573687183982,125.1306677403627,1444.1510677515648,12.84952251405752,12.732732430889447,135.52112632884896,1574.87142682628,14.778828510957084,14.16049807024026,139.73097720104394,1381.4420056824035,12.171914007568216,12.372222182319913,133.03409359408957,1393.986693239193,18.101834032723715,19.28244312857488,145.27414807017982,1589.3063774594368,21.69569596442464,28.43682069020221,199.515207910926,1602.4630276662167,14.540643917967715,13.410862086771848,109.4214973724022,1752.8829246756231,17.52795199995328,15.013424414747035,114.26590166611572,1796.7024030118553,18.68178510480415,14.719011140586543,126.35636751328676,13.55919224557438,15.382112417562682,199.515207910926,1239.281205864631,372.3952196148416,1796.7024030118553,8.051391425110408,8.065957415465128,89.22592642847187,1,2273,10.17564453312692,1.6129353571323997,6.039825969645942,22.230447171218177,-2.56614921328513,-1.4985773739366914,8.657135122085348,1.7697029251295826,3.927321492790919,1.952627749298697,1,2294,10.117829395338402,1.4467055322753202,6.45669092763026,16.97683532655642,2.27428516942925,-0.149042466180776,8.611744121399301,1.4727703833990338,4.52552313175545,1.5675754689814327,1,2273,1.5009380761799205,0.6969293129134385,0.1028795367782102,3.835960969510415,-0.0285620373038275,0.018935471907699,0.0228355475751869,1.4327628144891655,0.6543381209864879,0.5058281449872719,1,2294,1.5018145017735027,0.7595572150034594,0.0141559361690446,3.6465599025529936,-0.0759851070581909,0.0448595911631952,0.010710796432476,1.4858177269691322,0.5366674363556947,0.5734168335569698,10.146736964232662,1.52982044470386,1.5013762889767115,0.728243263958449
w03,3803,4301,498,10,squats,1,498,17.0,622.3657332211573,6.288503589049354,6.00315356383901,36.84600677564242,766.7364274803326,19.02029385625453,19.68320204579958,132.10399067888986,882.4763524600645,46.46839144992354,56.854188243708805,378.9111734762823,1101.2623762787705,45.891521936980894,56.22097833855536,462.5134207366965,663.8546234921951,16.53864366448069,17.466048971456726,112.44201293631744,946.3687892986648,50.34195735451001,70.86048251007625,402.4396610524354,1287.4414657288846,43.28292318172079,58.184659805757896,478.37934148180045,1012.318673777501,17.031956031232575,14.608390259371824,109.03888888528546,1365.3699298150602,27.518117383122984,25.41928673526812,207.3006093835792,1383.8187989512055,30.324546671105537,27.89617687700527,226.44401275766825,1443.981273283504,33.5754427571996,31.29838509806245,256.6099806051779,1272.5641295986372,27.21326638148746,25.52345306395205,178.9491905368904,1343.5661169810912,31.47093037034992,33.1819743196897,205.60277833435964,1307.8261158335963,31.67833374208826,35.92869560708098,258.40753684833817,1421.6385075377364,32.75686135150738,28.215325572123124,213.92288080491943,1540.9662836262703,38.543014579165096,37.734916790615465,263.285288194497,1470.64603958294,36.32073258355877,35.936785822632366,266.67833099915856,31.42737864021985,39.82639036534308,478.37934148180045,1166.6589198204476,287.4328488809736,1540.9662836262703,16.913964838808308,14.871504562984038,106.35216920701431,1,1726,10.043895300178203,4.148972609567627,3.279108259241485,19.842226961264217,-0.7012550890677288,-0.1191445949190034,9.887870482271149,1.4778721965146242,0.8523554626002153,4.111843095671087,1,1743,9.86721002729874,4.074075678353519,3.545642676140634,20.60423118204644,0.2980803219136547,-1.5197931670771658,9.625009559150891,1.237597248572743,1.1908171685753468,3.996348547658879,1,1727,0.4066082952848505,0.2071717536353976,0.0159761928188758,1.1846862801751816,-0.0167519206177185,-0.0085556476896352,-0.0243652726160972,0.302717126124007,0.313418090520066,0.1320393536918734,1,1743,0.4544577053843972,0.2607877398595543,0.0374774514277438,2.0368672370010645,-0.0030785074806655,-0.0005397198055077,0.0040990691399885,0.4149984780709481,0.2864921997041951,0.1421758174872333,9.955552663738471,4.1115241439605725,0.4305330003346238,0.23397974674747596
