participant,squat_segments,avg_reps,avg_duration,avg_pose_movement,avg_pose_range,avg_pose_stability,avg_watch_acc_mean,avg_watch_acc_variability,avg_watch_gyr_mean,avg_watch_gyr_variability,pose_movement_score,pose_range_score,pose_stability_score,watch_acc_score,watch_acc_variability_score,watch_gyr_score,watch_gyr_variability_score,movement_strength_score,movement_variability_score,engagement_like_score,fatigue_like_score,frustration_like_score,derived_state,rule_triggered,trigger_score,state_reason,movement_strength_formula,movement_variability_formula,engagement_like_formula,fatigue_like_formula,frustration_like_formula
w00,3,10.0,479.3333,14.0203,1131.8778,9.0263,10.3538,4.341,1.3321,0.9445,0.6816,1.4645,-0.4403,0.2833,1.249,0.2805,0.8105,0.6774,1.0297,0.1186,-0.6774,1.0297,frustration_like,frustration_like_score > 0.75,1.0297,"frustration_like_score = 1.0297, which is above 0.75. This means movement variability was higher than average.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w01,3,10.0,513.6667,9.5813,442.572,6.718,9.9384,4.0249,0.4799,0.2478,-0.8801,-1.495,0.6916,-0.4724,0.9579,-0.8247,-1.1612,-0.918,-0.1017,-0.1132,0.918,-0.1017,fatigue_like,fatigue_like_score > 0.75,0.918,"fatigue_like_score = 0.9180, which is above 0.75. This means movement strength was lower than average.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w02,3,10.0,657.3333,15.7125,1007.3511,10.0122,10.21,1.8561,1.5892,0.817,1.2769,0.9298,-0.9237,0.0217,-1.0394,0.6139,0.4497,0.7106,-0.2948,-0.1066,-0.7106,-0.2948,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w03,3,10.0,489.3333,14.1619,561.3683,8.2108,9.9337,4.2062,0.4655,0.2401,0.7314,-0.985,-0.0404,-0.4809,1.1248,-0.8433,-1.183,-0.3945,-0.0291,-0.2174,0.3945,-0.0291,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w04,3,10.0,745.0,7.2944,476.499,5.0828,10.1812,1.3668,1.7823,0.9894,-1.6847,-1.3494,1.4935,-0.0307,-1.49,0.8643,0.9376,-0.5501,-0.2762,0.4717,0.5501,-0.2762,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w05,3,10.0,547.3333,15.0527,892.9347,11.0987,10.1876,4.0738,1.1093,0.8942,1.0448,0.4386,-1.4565,-0.0191,1.0029,-0.0085,0.6682,0.364,0.8355,-0.5463,-0.364,0.8355,frustration_like,frustration_like_score > 0.75,0.8355,"frustration_like_score = 0.8355, which is above 0.75. This means movement variability was higher than average.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w06,3,10.0,571.6667,12.9842,1035.0278,8.9913,9.9254,3.3411,0.4085,0.2853,0.317,1.0487,-0.4231,-0.496,0.3282,-0.9173,-1.0551,-0.0119,-0.3635,-0.2175,0.0119,-0.3635,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w07,3,10.0,718.6667,13.9978,1036.5497,9.1095,10.0569,1.6722,1.2361,0.6444,0.6736,1.0552,-0.4811,-0.2568,-1.2087,0.156,-0.0388,0.407,-0.6238,-0.037,-0.407,-0.6238,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w08,3,10.0,518.3333,13.3223,843.6609,8.3523,9.9249,3.7735,0.4767,0.3763,0.436,0.227,-0.1098,-0.4969,0.7264,-0.8288,-0.7975,-0.1657,-0.0356,-0.1377,0.1657,-0.0356,neutral_like,no threshold passed,0.0,"No prototype threshold was passed. Movement strength, variability, and engagement-like scores were not high enough to trigger fatigue_like, frustration_like, or engaged_like.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
w09,3,10.0,705.0,7.3886,753.8403,4.855,10.0212,1.703,1.1975,0.5677,-1.6516,-0.1586,1.6052,-0.3217,-1.1804,0.1059,-0.2559,-0.5065,-0.7181,0.5493,0.5065,-0.7181,engaged_like,engagement_like_score > 0.5,0.5493,"engagement_like_score = 0.5493, which is above 0.5. This means movement was stronger and/or more stable than average.",(pose_movement_score + pose_range_score + watch_acc_score + watch_gyr_score) / 4,(watch_acc_variability_score + watch_gyr_variability_score) / 2,(movement_strength_score + pose_stability_score) / 2,-movement_strength_score,movement_variability_score
